time,bass,drums,vocals,other
1.55,170,185.41666666666666,77.32631578947368,8.696428571428571
1.56,171.83333333333334,185.16666666666666,78.2421052631579,9.169642857142858
1.58,172.33333333333334,185.75,78.15789473684211,8.883928571428571
1.60,172.66666666666666,185.83333333333334,78.8,9.1875
1.61,173.33333333333334,184.91666666666666,78.76842105263158,9.544642857142858
1.63,172.33333333333334,183.58333333333334,80.2421052631579,9.366071428571429
1.65,173.5,183.25,80.6421052631579,9.598214285714286
1.66,175.5,182.08333333333334,81.72631578947369,9.723214285714286
1.68,177.5,182.66666666666666,82.62105263157895,10.9375
1.70,178.66666666666666,184.08333333333334,83.6,11.035714285714286
1.71,180.33333333333334,184.33333333333334,84.76842105263158,11.5
1.73,181.5,185.08333333333334,85.13684210526316,12.276785714285714
1.75,181.5,185.16666666666666,86.08421052631579,12.535714285714286
1.76,182,183.91666666666666,87.46315789473684,12.589285714285714
1.78,184,182.25,87.30526315789474,13.491071428571429
1.80,183.16666666666666,182.33333333333334,88.49473684210527,14.946428571428571
1.81,182.83333333333334,182.66666666666666,89.08421052631579,15.758928571428571
1.83,183.33333333333334,181.5,91.10526315789474,16.151785714285715
1.85,183.83333333333334,180.41666666666666,91.61052631578947,16.875
1.86,183.5,179.16666666666666,92.47368421052632,16.839285714285715
